OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
1,1/1/2016 13:57,823.840.000.000.000.000.000,1.733.984.070.000.000,-0.55786926,-81.367.073.059.999.800,10.000.000.000.000.000,4.167.721.590.000.000,31.000.000.000.000.000,28.000.000.000.000.000,30.000.000.000.000.000,27.000.000.000.000.000,0.90551476,270.651.916.500.000.000,3.704.198.600.000.000,0.75862831,2.987.011.190.000.000,1/1/2016 13:57
2,1/1/2016 17:15,365.272.000.000.000.000.000,0.17342615,0.39004663,-78.960.174.559.999.800,6.000.000.000.000.000,5.243.619.920.000.000,110.000.000.000.000.000,85.000.000.000.000.000,103.000.000.000.000.000,80.000.000.000.000.000,0.5486937,52.460.401.539.999.900,4.064.985.750.000.000,0.21904604,1.018.169.760.000.000,1/1/2016 17:15
3,2/1/2016 4:59,201.850.000.000.000.000.000,0.31195905,0.35680828,-78.947.143.550.000.000,4.080.554.490.000.000,4.210.785.090.000.000,94.000.000.000.000.000,33.000.000.000.000.000,87.000.000.000.000.000,26.000.000.000.000.000,0.26798522,146.567.672.700.000.000,0.87579668,0.19076125,0.61181992,2/1/2016 4:59
4,2/1/2016 5:07,743.696.000.000.000.000.000,0.30763492,0.35016692,-78.949.897.770.000.000,3.935.603.140.000.000,4.019.447.540.000.000,86.000.000.000.000.000,35.000.000.000.000.000,80.000.000.000.000.000,29.000.000.000.000.000,0.24895142,145.449.623.100.000.000,1.000.144.240.000.000,0.19020616,0.61024767,2/1/2016 5:07
5,2/1/2016 15:02,19.591.000.000.000.000.000,0.34185756,-1.981.699.230.000.000,-79.767.974.850.000.000,80.035.140.990.000.000,4.747.151.550.000.000,77.000.000.000.000.000,70.000.000.000.000.000,72.000.000.000.000.000,68.000.000.000.000.000,0.53554757,96.442.565.920.000.000,3.332.343.580.000.000,1.020.612.240.000.000,1.861.367.820.000.000,2/1/2016 15:02
6,4/1/2016 17:03,587.633.000.000.000.000.000,0.2305374,-2.395.323.510.000.000,-79.808.364.870.000.000,43.910.903.930.000.000,3.989.380.260.000.000,64.000.000.000.000.000,54.000.000.000.000.000,60.000.000.000.000.000,50.000.000.000.000.000,0.66640262,99.306.930.539.999.800,3.030.085.560.000.000,0.35150576,2.024.559.740.000.000,4/1/2016 17:03
7,4/1/2016 19:18,317.576.000.000.000.000.000,0.69064727,-3.005.591.150.000.000,-79.858.901.979.999.800,12.168.913.840.000.000,3.520.528.030.000.000,7.000.000.000.000.000,7.000.000.000.000.000,4.000.000.000.000.000,4.000.000.000.000.000,0.9560439,131.545.387.299.998.000,1.308.103.320.000.000,0.31236199,0.57731569,4/1/2016 19:18
8,6/1/2016 9:06,539.833.000.000.000.000.000,0.24568706,0.88859761,-79.599.105.829.999.900,6.432.357.790.000.000,3.736.663.400.000.000,77.000.000.000.000.000,66.000.000.000.000.000,70.000.000.000.000.000,59.000.000.000.000.000,0.84356803,112.540.588.400.000.000,2.477.863.070.000.000,0.13346516,1.602.478.980.000.000,6/1/2016 9:06
9,11/1/2016 8:21,926.650.000.000.000.000.000,0.48143915,-2.736.999.750.000.000,-78.207.901.000.000.000,15.000.000.000.000.000,4.148.494.770.000.000,80.000.000.000.000.000,34.000.000.000.000.000,74.000.000.000.000.000,32.000.000.000.000.000,1.018.834.670.000.000,210.662.837.499.999.000,2.741.325.140.000.000,0.50155139,2.014.571.670.000.000,11/1/2016 8:21
10,20/1/16 02:59,852.617.000.000.000.000.000,0.34203006,-2.627.770.660.000.000,-78.112.205.509.999.800,10.000.000.000.000.000,3.779.571.470.000.000,65.000.000.000.000.000,56.000.000.000.000.000,57.000.000.000.000.000,48.000.000.000.000.000,1.346.522.610.000.000,200.409.461.999.999.000,2.627.552.510.000.000,0.6285035,1.919.580.580.000.000,20/1/16 02:59
11,23/1/16 00:19,961.204.000.000.000.000.000,0.46834773,-2.091.853.380.000.000,-80.329.864.499.999.900,5.761.702.060.000.000,4.398.612.390.000.000,57.000.000.000.000.000,31.000.000.000.000.000,52.000.000.000.000.000,26.000.000.000.000.000,0.84515977,147.334.930.399.999.000,2.293.325.190.000.000,0.80534559,1.815.882.560.000.000,23/1/16 00:19
12,24/1/16 18:08,262.938.000.000.000.000.000,0.30425408,-2.191.955.090.000.000,-79.120.742.800.000.000,75.987.152.100.000.000,3.694.590.490.000.000,45.000.000.000.000.000,45.000.000.000.000.000,32.000.000.000.000.000,32.000.000.000.000.000,1.362.374.200.000.000,143.232.795.700.000.000,3.248.537.540.000.000,0.30463201,1.663.807.030.000.000,24/1/16 18:08
